Customer_Name,Account,Inventory_Barcode,Barcode,Location,Bin_Location,Item,Manufacturer,Product_Description,Pkg,On_Hand,On_Hand2,On_Order,Min,Max,Price,Total,Customer_Account,Web_Image,VendorCost,Check,QTY,Updated_Time,Customer_Inventory_ID,UserID
RFP Gatineau,39000,GA2661,251030 CBL-10U,VMI3 TMP3,TMP-7-7A,251030 CBL,GENERIC VENDOR,M12-1.75X45 HHCS FT CL8.8 PLN D933 UNC STL,10 10U,0,0,0,2,12,,,NULL,NULL,,NULL,,,,NULL
RFP Gatineau,39000,GA2671,251523 CBL-10U,VMI3 TMP3,TMP-8-8C,251523 CBL,GENERIC VENDOR,M14-2.0X60 HHCS PT CL8.8 ZC D931 UNC STL,10 10U,0,0,0,2,12,,,NULL,NULL,,NULL,,,,NULL
RFP Gatineau,39000,GA2672,251554 CBL-10U,VMI3 TMP3,TMP-8-8D,251554 CBL,GENERIC VENDOR,M14-2.0X70 HHCS PT CL8.8 ZC D931 UNC STL,10 10U,0,0,0,2,12,,,NULL,NULL,,NULL,,,,NULL
RFP Gatineau,39000,GA2677,252127 CBL-10U,VMI3 TMP3,TMP-8-9A,252127 CBL,GENERIC VENDOR,M16-2.0X70 HHCS PT CL8.8 ZC D931 UNC STL,10 10U,0,0,0,2,12,,,NULL,NULL,,NULL,,,,NULL
RFP Gatineau,39000,GA2680,251737 CBL-10U,VMI3 TMP3,TMP-8-9D,251737 CBL,GENERIC VENDOR,M16-2.0X120 HHCS FT CL8.8 ZC D933 UNC STL,10 10U,0,0,0,2,12,,,NULL,NULL,,NULL,,,,NULL
RFP Gatineau,39000,GA2683,252811 CBL-10U,VMI3 TMP3,TMP-8-9G,252811 CBL,GENERIC VENDOR,M20-2.5X70 HHCS PT CL8.8 ZC D931 UNC STL,10 10U,0,0,0,2,12,,,NULL,NULL,,NULL,,,,NULL
RFP Gatineau,39000,GA2713,252442 CBL-10U,VMI3 TMP3,TMP-9-8A,252442 CBL,GENERIC VENDOR,M20-2.5X100 HHCS FT CL10.9 PLN D933 UNC STL,10 10U,0,0,0,2,12,,,NULL,NULL,,NULL,,,,NULL
RFP Gatineau,39000,GA5134,247102 CBL-10U,VMI6 MP6,MP6,247102 CBL,GENERIC VENDOR,5/8-11X3 HHCS PT G5 ZC UNC STL,10 10U,0,0,0,2,12,,,NULL,NULL,,NULL,,,,NULL
RFP Gatineau,39000,GA5135,247161 CBL-10U,VMI6 MP6,MP6,247161 CBL,GENERIC VENDOR,5/8-11X4 HHCS PT G5 ZC UNC STL,10 10U,0,0,0,2,12,,,NULL,NULL,,NULL,,,,NULL
RFP Gatineau,39000,GA1135,246855 CBL-25U,VMI1-MAIN STORES,CB-1D-A1,246855 CBL,GENERIC VENDOR,5/8-11X1 HHCS PT A4 SS 316 UNC,25 25U,0,0,0,25,50,,,NULL,NULL,,NULL,,,,NULL
RFP Gatineau,39000,GA1152,241779 CBL-25U,VMI1-MAIN STORES,CB-1E-D3,241779 CBL,GENERIC VENDOR,1/2-13X3 HHCS PT A4 SS 316 UNC,25 25U,0,0,0,25,50,,,NULL,NULL,,NULL,,,,NULL
RFP Gatineau,39000,GA1186,400871 CBL-25U,VMI1-MAIN STORES,CB-1H-C2,400871 CBL,GENERIC VENDOR,1-1/8-7 FIN HEX NUT A4 SS 316 UNC,25 25U,0,0,0,10,25,,,NULL,NULL,,NULL,,,,NULL
RFP Gatineau,39000,GA1089,248855 CBL-25U,VMI1-MAIN STORES,BS-B1-7A,248855 CBL,GENERIC VENDOR,7/8-9X10 HHCS PT G5 PLN UNC STL,25 25U,0,0,0,5,30,,,NULL,NULL,,NULL,,,,NULL
RFP Gatineau,39000,GA1092,400772 CBL-25U,VMI1-MAIN STORES,BS-B1-8B,400772 CBL,GENERIC VENDOR,7/8-9 FIN HEX NUT G8 ZY UNC STL,25 25U,0,0,0,5,30,,,NULL,NULL,,NULL,,,,NULL
RFP Gatineau,39000,GA1177,400801 CBL-25U,VMI1-MAIN STORES,CB-1G-D1,400801 CBL,GENERIC VENDOR,1-1/4-7 FIN HEX NUT BRASS PLN UNC,25 25U,0,0,0,5,30,,,NULL,NULL,,NULL,,,,NULL
RFP Gatineau,39000,GA1253,601883 CBL-25U,VMI1-MAIN STORES,CB-2A-E4,601883 CBL,GENERIC VENDOR,3/8-16X3 MS RND SLOT ZC UNC STL,25 25U,0,0,0,5,30,,,NULL,NULL,,NULL,,,,NULL
RFP Gatineau,39000,GA1263,601883 CBL-25U-EXT1,VMI1-MAIN STORES,CB-2B-B6,601883 CBL,GENERIC VENDOR,3/8-16X3 MS RND SLOT ZC UNC STL,25 25U,0,0,0,5,30,,,NULL,NULL,,NULL,,,,NULL
RFP Gatineau,39000,GA1330,400810 CBL-25U,VMI1-MAIN STORES,CB-2E-F3,400810 CBL,GENERIC VENDOR,7/8-9 BRASS PLN UNC HX NUT,25 25U,0,0,0,5,30,,,NULL,NULL,,NULL,,,,NULL
RFP Gatineau,39000,GA1347,252057 CBL-25U,VMI1-MAIN STORES,CB-2H-C1,252057 CBL,GENERIC VENDOR,M16-2.0X50 HHCS FT A4 SS 316 D933 UNC,25 25U,0,0,0,5,30,,,NULL,NULL,,NULL,,,,NULL
RFP Gatineau,39000,GA1365,509007 CBL-25U,VMI1-MAIN STORES,CB-2J-D2,509007 CBL,GENERIC VENDOR,3/4-10X1-1/2 SHCS A4 SS 316 UNC,25 25U,0,0,0,5,30,,,NULL,NULL,,NULL,,,,NULL
RFP Gatineau,39000,GA1378,508979 CBL-25U,VMI1-MAIN STORES,CB-2K-C3,508979 CBL,GENERIC VENDOR,1/2-13X1-3/4 SHCS FT A4 SS 316 UNC,25 25U,0,0,0,5,30,,,NULL,NULL,,NULL,,,,NULL
RFP Gatineau,39000,GA1379,508980 CBL-25U,VMI1-MAIN STORES,CB-2K-D1,508980 CBL,GENERIC VENDOR,1/2-13X2 SHCS FT UNC A4 SS,25 25U,0,0,0,5,30,,,NULL,NULL,,NULL,,,,NULL
RFP Gatineau,39000,GA1387,323248 CBL-25U,VMI1-MAIN STORES,CB-2L-A4,323248 CBL,GENERIC VENDOR,1/2-13X1/2 SSS CP A4 SS UNC,25 25U,0,0,0,5,30,,,NULL,NULL,,NULL,,,,NULL
RFP Gatineau,39000,GA1476,251945 CBL-25U,VMI1-MAIN STORES,CB-3E-B1,251945 CBL,GENERIC VENDOR,M16-2.0X30 HHCS FT CL8.8 PLN D933 UNC STL,25 25U,0,0,0,5,30,,,NULL,NULL,,NULL,,,,NULL
RFP Gatineau,39000,GA1477,251986 CBL-25U,VMI1-MAIN STORES,CB-3E-B2,251986 CBL,GENERIC VENDOR,M16-2.0X35 HHCS FT CL8.8 PLN D933 UNC STL,25 25U,0,0,0,5,30,,,NULL,NULL,,NULL,,,,NULL
RFP Gatineau,39000,GA1478,252021 CBL-25U,VMI1-MAIN STORES,CB-3E-B3,252021 CBL,GENERIC VENDOR,M16-2.0X40 HHCS FT CL8.8;PLN D933 UNC STL,25 25U,0,0,0,5,30,,,NULL,NULL,,NULL,,,,NULL
RFP Gatineau,39000,GA1480,252082 CBL-25U,VMI1-MAIN STORES,CB-3E-C1,252082 CBL,GENERIC VENDOR,M16-2.0X60 HHCS PT CL8.8 ZC D931 UNC STL,25 25U,0,0,0,5,30,,,NULL,NULL,,NULL,,,,NULL
RFP Gatineau,39000,GA1506,250496 CBL-25U,VMI1-MAIN STORES,CB-3F-D3,250496 CBL,GENERIC VENDOR,M10-1.5X50 HHCS PT GR8.8 ZC D931 UNC STL,25 25U,0,0,0,5,30,,,NULL,NULL,,NULL,,,,NULL
RFP Gatineau,39000,GA1514,251122 CBL-25U,VMI1-MAIN STORES,CB-3F-F2,251122 CBL,GENERIC VENDOR,M12-1.75X70 HHCS PT GR8.8 ZC D931 UNC STL,25 25U,0,0,0,5,30,,,NULL,NULL,,NULL,,,,NULL
RFP Gatineau,39000,GA1540,509139 CBL-25U,VMI1-MAIN STORES,CB-3H-B1,509139 CBL,GENERIC VENDOR,M12-1.75X80 SHCS CL8.8 PLN UNC STL,25 25U,0,0,0,5,30,,,NULL,NULL,,NULL,,,,NULL
RFP Gatineau,39000,GA1542,509175 CBL-25U,VMI1-MAIN STORES,CB-3H-B3,509175 CBL,GENERIC VENDOR,M16-2.0X30 SHCS CL8.8 PLN UNC STL,25 25U,0,0,0,5,30,,,NULL,NULL,,NULL,,,,NULL
RFP Gatineau,39000,GA1543,509178 CBL-25U,VMI1-MAIN STORES,CB-3H-C1,509178 CBL,GENERIC VENDOR,M16-2.0X40 SHCS CL8.8;PLN UNC STL,25 25U,0,0,0,5,30,,,NULL,NULL,,NULL,,,,NULL
RFP Gatineau,39000,GA1544,509975 CBL-25U,VMI1-MAIN STORES,CB-3H-C2,509975 CBL,GENERIC VENDOR,M16-2.0X50 SHCS CL12.9 PLN UNC STL,25 25U,0,0,0,5,30,,,NULL,NULL,,NULL,,,,NULL
RFP Gatineau,39000,GA1545,509182 CBL-25U,VMI1-MAIN STORES,CB-3H-C3,509182 CBL,GENERIC VENDOR,M16-2.0X60 SHCS CL8.8 PLN UNC STL,25 25U,0,0,0,5,30,,,NULL,NULL,,NULL,,,,NULL
RFP Gatineau,39000,GA1573,509501 CBL-25U,VMI1-MAIN STORES,CB-3J-E3,509501 CBL,GENERIC VENDOR,M8-1.25X70 SHCS CL8.8 PLN UNC STL,25 25U,0,0,0,5,30,,,NULL,NULL,,NULL,,,,NULL
RFP Gatineau,39000,GA1580,509100 CBL-25U,VMI1-MAIN STORES,CB-3J-F4,509100 CBL,GENERIC VENDOR,M10-1.5X50 SHCS CL8.8;PLN UNC STL,25 25U,0,0,0,5,30,,,NULL,NULL,,NULL,,,,NULL
RFP Gatineau,39000,GA1581,509104 CBL-25U,VMI1-MAIN STORES,CB-3J-F5,509104 CBL,GENERIC VENDOR,M10-1.5X70 SHCS CL8.8 PLN UNC STL,25 25U,0,0,0,5,30,,,NULL,NULL,,NULL,,,,NULL
RFP Gatineau,39000,GA1669,244207 CBL-25U,VMI4 Garage,GA-B1-10A,244207 CBL,GENERIC VENDOR,3/4-10X2 HHCS G8 ZY UNC STL,25 25U,0,0,0,5,30,,,NULL,NULL,,NULL,,,,NULL
RFP Gatineau,39000,GA1671,244207 CBL-25U-EXT1,VMI4 Garage,GA-B1-10C,244207 CBL,GENERIC VENDOR,3/4-10X2 HHCS G8 ZY UNC STL,25 25U,0,0,0,5,30,,,NULL,NULL,,NULL,,,,NULL
RFP Gatineau,39000,GA1679,249723 CBL-20U,VMI5 Mechanical Repair,MS-B4,249723 CBL,GENERIC VENDOR,7/8-9X6 ;HHCS; G8 YZ UNC STL,20 20U,0,0,0,0,20,,,NULL,NULL,,NULL,,,,NULL
RFP Gatineau,39000,GA1693,400756 CBL-25U,VMI4 Garage,GA-B1-2B,400756 CBL,GENERIC VENDOR,1-8 FIN HEX NUT G8 ZY UNC STL,25 25U,0,0,0,5,30,,,NULL,NULL,,NULL,,,,NULL
RFP Gatineau,39000,GA1732,245244 CBL-25U,VMI4 Garage,GA-B1-7A,245244 CBL,GENERIC VENDOR,3/8-16X3 ;HHCS; PT G8 ZY UNC STL,25 25U,0,0,0,5,30,,,NULL,NULL,,NULL,,,,NULL
RFP Gatineau,39000,GA1742,241625 CBL-25U,VMI4 Garage,GA-B1-8C,241625 CBL,GENERIC VENDOR,1/2-13X2-1/2 ;HHCS; PT G8 ZY UNC STL,25 25U,0,0,0,5,30,,,NULL,NULL,,NULL,,,,NULL
RFP Gatineau,39000,GA1743,241775 CBL-25U,VMI4 Garage,GA-B1-8D,241775 CBL,GENERIC VENDOR,1/2-13X3 ;HHCS; PT G8 ZY UNC STL,25 25U,0,0,0,5,30,,,NULL,NULL,,NULL,,,,NULL
RFP Gatineau,39000,GA1744,241709 CBL-25U,VMI4 Garage,GA-B1-8E,241709 CBL,GENERIC VENDOR,1/2-13X3-1/2 HHCS PT G8 ZY UNC STL,25 25U,0,0,0,5,30,,,NULL,NULL,,NULL,,,,NULL
